X1,X2,X3,X4,Y1,Y2
19.0778,0,19.15057,-0.15992,0,0
4.19381,0,4.20137,-0.12595,0,0
0,0,0,-0.20615,1,1
12.73358,0,12.84792,-0.17139,0,0
7.85547,0,7.91483,-0.22066,0,0
22.83351,0,23.02926,-0.27948,0,0
24.52975,0,24.8478,-0.47365,1,0
27.40321,0,27.83182,-0.7814,0,0
27.64461,0,27.64461,0,0,0
25.35,0,25.35,-0.66562,1,0
28.12344,0,28.12344,-0.61105,0,0
34.426,0,34.92543,-0.6697,0,0
29.2052,0,29.50616,-0.90145,0,0
33.15222,0,33.45667,-0.41547,0,0
40.01828,0,40.25579,-7.8,0,0
37.93201,0,38.11496,-7,0,0
39.96836,0,40.08,-0.16389,0,0
38.81504,0,38.84611,-0.07006,0,0
36.83142,0,36.69199,0.13943,0,0
34.86461,0,34.71533,0.14928,0,0
32.52572,0,32.48674,0.03898,0,0
26.99915,0,26.88088,0.11828,0,0
22.97335,-1.86403,24.70468,-0.0381,0,0
20.19219,-1.62155,20.34478,-0.03287,0,0
20.04136,-0.15128,20.30652,-0.12829,0,0
-23.03684,-2.18457,-22.6384,-0.39844,1,1
9.52004,0,9.62009,-0.21557,1,0
18.09168,0,18.24862,-0.24311,0,0
20.85053,0,21.05476,-0.23685,0,0
19.1574,0,19.32943,-0.27574,0,0
23.8948,0,24.16301,-0.45248,0,0
23.43012,0,23.93271,-0.5813,0,0
23.98231,0,24.65794,-0.74159,0,0
25.96154,0,26.62722,-0.73241,0,0
25.65525,0,26.18952,-0.63203,0,0
27.23176,0,27.64366,-0.45007,0,0
27.33955,0,27.46866,-0.13892,0,0
28.29026,0,28.33844,-0.15444,0,0
34.54862,0,34.85887,-0.35771,0,0
31.32625,0,31.57731,-0.30811,0,0
31.47908,0,31.76496,-0.38947,0,0
28.96137,0,29.21849,-0.36513,0,0
25.98613,-18.8494,27.50251,-0.9694,0,0
25.30318,-52.48945,35.42224,-1.2122,1,0
29.52692,-33.7595,30.69714,-1.84325,0,0
24.10885,-19.17132,26.88817,-1.15245,0,0
